GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OliverHagger-20SoftwareJun1,com.qa.ims.controller,Action,116,0,2,0,17,0,6,0,5,0
OliverHagger-20SoftwareJun1,com.qa.ims.controller,CustomerController,2,105,0,2,1,28,1,7,1,6
OliverHagger-20SoftwareJun1,com.qa.ims.controller,ProductController,2,107,0,2,1,28,1,7,1,6
OliverHagger-20SoftwareJun1,com.qa.ims.controller,OrderController,49,99,0,2,12,26,2,6,2,5
OliverHagger-20SoftwareJun1,com.qa.ims,Ims,250,0,19,0,62,0,20,0,7,0
OliverHagger-20SoftwareJun1,com.qa.ims,Runner,14,0,0,0,5,0,3,0,3,0
OliverHagger-20SoftwareJun1,com.qa.ims.persistence.dao,ProductDaoMysql,313,0,2,0,72,0,12,0,11,0
OliverHagger-20SoftwareJun1,com.qa.ims.persistence.dao,OrderDaoMysql,346,0,2,0,74,0,12,0,11,0
OliverHagger-20SoftwareJun1,com.qa.ims.persistence.dao,CustomerDaoMysql,312,0,2,0,71,0,12,0,11,0
OliverHagger-20SoftwareJun1,com.qa.ims.services,ProductServices,0,28,0,0,0,8,0,5,0,5
OliverHagger-20SoftwareJun1,com.qa.ims.services,OrderServices,22,6,0,0,5,3,4,1,4,1
OliverHagger-20SoftwareJun1,com.qa.ims.services,CustomerServices,0,28,0,0,0,8,0,5,0,5
OliverHagger-20SoftwareJun1,com.qa.ims.utils,Utils,9,0,0,0,2,0,2,0,2,0
OliverHagger-20SoftwareJun1,com.qa.ims.persistence.domain,Order,54,236,11,29,19,64,15,24,5,14
OliverHagger-20SoftwareJun1,com.qa.ims.persistence.domain,Domain,33,83,2,0,9,7,3,3,2,3
OliverHagger-20SoftwareJun1,com.qa.ims.persistence.domain,Customer,0,175,0,30,0,48,0,26,0,11
OliverHagger-20SoftwareJun1,com.qa.ims.persistence.domain,Product,0,175,0,30,0,48,0,26,0,11
